69862 16243
61420 64532 280460887
32912 33645 212682531
22783 31406 94042606
47240 23816 532005326
56757 36042 794651906
38378 65261 5084078
15179 17842 554767388
24796 14480 692889976
22928 18909 780109469
13637 12354 412459465
34232 2209 724813520
9922 60865 713394801
14332 38843 669586503
53206 62075 281401037
51670 52204 519843482
14887 67151 608955611
68078 36616 90693980
23268 47195 397012677
24324 18562 137504087
32816 28530 243113211
69560 10424 866339334
16368 56646 732380378
35708 63883 766366707
35217 60270 773696408
13740 68630 375662318
64772 12244 680970983
23427 16059 725928591
45737 59054 195127125
21887 62131 915603679
47935 15664 944016055
21466 56932 913205160
52918 9474 919938580
58239 20790 449028696
55509 17221 469412702
65899 61584 352792418
48778 54020 232882666
20160 51363 319799180
1337 43533 551015381
55841 17717 910129905
19572 35929 646039774
16863 7888 269870130
67695 44372 327483186
62132 29180 184893145
59917 39901 773231607
32677 48086 31765919
45380 43197 372044750
47750 24687 617636377
41367 29153 488060922
375 6058 508449622
6148 65424 645750361
7079 24311 859290668
10990 25095 645955852
14257 16774 36702360
41237 67681 714352226
58853 5731 642416764
19211 16995 129256854
50846 17120 250183132
67509 54241 760179520
3854 10104 722960512
67800 28761 568279172
64412 27079 376937461
36148 44972 72542747
18452 33966 112134085
32713 52464 155717194
5228 36334 797524971
59979 65022 804863000
37589 38437 148482354
51409 18906 299823146
8761 66304 707215174
49152 47980 267123804
36342 16787 834896665
67052 49288 525884326
34854 65405 494015302
66995 11310 294679445
69049 22744 919309833
31611 14723 25035454
26540 37711 818280867
48816 24985 112311273
56628 60336 106978261
26170 30473 769900841
50088 33956 473862651
21442 9737 156277001
12511 190 701881797
41836 32417 11085678
54593 6961 196140488
18559 48445 341576859
6222 9618 263141752
51387 50651 188180106
30935 14400 307453062
52467 9922 988903227
65191 48392 567810854
54862 44213 125972458
60732 66358 112610997
45714 66064 715450818
42940 17046 800142611
31907 40500 871251226
37173 1423 635641458
35363 52105 322676203
45228 21503 666663921
57207 42255 460142856
29038 35298 470974787
21210 47919 536348128
61259 6375 376430990
15728 10381 451692723
4857 49323 447825702
13662 1576 348157240
19419 5159 808227918
11531 37122 124703469
17915 49578 577257252
48938 23797 495129940
65051 64321 375941300
15197 5763 270706797
37916 40823 526574626
32319 68019 709487179
36463 41938 204468543
32785 59330 901510529
4731 48520 745621581
45938 7827 509742778
46240 58073 175423573
65337 45420 719975700
64800 15238 208120511
8573 30295 971782695
43635 12379 503041591
48750 30884 27938296
21286 52419 131951531
7646 6893 90335114
276 40252 71668424
6411 33089 272630803
60320 11389 47565599
45866 9827 627715338
53299 20807 86666765
15456 1692 358259248
3429 59173 939692544
53937 65766 452776089
31556 8223 613142308
14126 68758 519065495
45878 63099 888330470
12539 38352 431617294
60114 4616 10958921
28450 45825 48420452
20226 26941 692027179
20206 66840 279148489
64885 10051 969378688
56810 61555 629996159
69289 65679 774413620
47887 26852 612171203
44980 17472 967676410
29890 10429 637175701
10058 49560 538890428
46955 3134 306602413
25930 40313 800826968
39331 20206 137370535
1747 69270 833827702
59586 61797 3336678
58703 48535 348198218
36658 65519 897515327
58479 56526 920314249
67824 12705 831726115
60329 66472 964064500
48348 67477 252111047
27669 30221 631338690
12433 43770 682828266
68288 68583 192290522
22301 50072 319594146
3226 13511 782830042
45436 17012 932211901
25886 66546 733149598
50376 12813 163264546
22644 52393 866195710
35196 10004 212688013
38815 67526 327484999
33834 36180 131281467
60014 52807 482644269
39544 65472 533411523
55968 9884 89180483
4956 12325 11934917
34747 27650 423279086
46099 59232 71577510
2431 42181 158785478
28534 23476 127568464
35920 42321 930313788
20203 34286 992622598
61058 11273 631903988
23079 14383 674956315
50687 40257 3113455
69419 36579 991346916
59702 46938 98461707
52282 2859 719869499
334 39860 796997443
33578 54561 448794389
36402 59574 920431869
43857 30091 64701619
51356 69165 426448186
51626 9601 474110414
26390 32390 664726365
24125 44436 291041707
31380 69267 356590182
56350 9326 551904496
68839 20613 95857811
65907 29011 323763334
49611 34085 468907140
67719 36553 710061096
9917 28301 586855364
62245 6107 514959865
31019 25457 619869452
50741 59954 608780839
67031 53672 204669142
1652 61132 268768042
69051 60104 817025552
17630 2046 393870643
63616 66392 222539923
8609 33571 904361545
25704 65699 520837350
47280 2984 238430760
13981 44870 493637808
47616 27873 465676530
52307 54755 530694242
17842 10061 508405998
68502 32985 78964510
40580 24088 937210302
59808 4180 63156062
44900 50842 43935586
46134 19054 990175934
61582 30694 988864134
50718 22513 444901990
30088 36500 109687427
49126 47385 285022693
45828 33216 655121933
15151 21609 417599243
38073 14274 404220215
42419 28172 201384877
38795 58219 255852836
23632 65392 83747801
64623 3765 410021445
9880 25453 786835075
47118 65179 690632962
21070 60275 668056172
65806 6332 390974872
41816 49236 116391785
36580 39475 236656436
46798 1087 299882972
25506 59629 186129840
6476 67184 839356660
19764 38960 135497833
8947 27124 973271734
29709 40747 301557082
218 36604 224258448
23204 8520 4078890
45696 47716 662613160
18846 59915 351111972
1117 61954 193852213
42731 33583 432904384
68471 61137 296127298
31844 12843 970713918
36960 45200 483857434
57706 39967 203527329
32282 35133 602895913
48298 66458 490324068
5050 17133 887191771
2518 20047 638384907
919 5893 44283935
3758 69843 225725250
23834 7720 567273319
41376 58865 571015455
21133 7526 238553470
34690 55870 863619660
65830 35334 694206065
57155 48702 917445929
19532 65113 665209485
12343 42598 417571396
17047 12887 672764985
57458 64075 357844661
31727 22240 11771065
56433 17580 497438660
29247 20763 172859528
53392 56996 181104247
47108 7905 516673996
10365 53608 353344458
36332 7144 506411636
2483 22692 297622648
12813 17950 497346065
21455 69168 628838736
39944 51875 534902857
34071 10873 68123756
44548 57620 747516452
31716 68998 239281381
50578 2225 308832627
66520 3229 496415890
18224 11537 912449673
69744 55001 554796709
66510 13891 994307928
55548 21346 729045794
30046 65568 384839460
27134 51516 508397605
3503 1904 711704728
40208 36847 467283576
13883 10915 421255521
10460 22152 179321264
13562 60140 464920785
46776 42268 974499826
49028 15820 995892252
13109 29241 498506580
50903 22861 81537686
27018 56195 544749403
58526 6710 664971692
14776 56700 405254813
34752 64826 432259447
39289 28831 709733574
37200 24477 429641959
22025 19059 598037037
28643 4750 485811396
35685 49236 978322742
50460 46543 498398917
34789 32634 407103242
35544 28507 447257750
66991 47767 218428757
65171 61267 683080689
61867 54289 400497800
44626 63337 221855510
28250 4958 935141398
64223 20543 1661170
69743 25896 983420216
68036 5079 35903790
33085 92 158445914
54921 57491 985353457
48181 66293 554389973
34351 45069 496232615
20886 21907 945656226
22904 24687 456698221
3977 65895 302155212
4079 50883 576944961
36263 26464 965694783
43601 1657 403135768
39722 192 773756781
31951 3702 844016610
47100 29155 888921633
51865 21547 994711725
24901 35141 61120709
58873 47445 875576293
7214 21581 70276867
63524 64881 794553973
54714 69008 313510777
67381 40742 19198140
46031 16927 758886870
55968 53689 74186148
28032 1726 344050852
43614 26012 576350443
14890 53652 251201354
37321 6293 531815031
6494 26842 102290793
32645 13949 257736227
4043 29503 69765218
16793 5722 846262919
12311 61510 166261934
36630 131 94920189
33455 4128 969139982
18652 46305 958938871
51186 42248 753772054
44056 31149 810717130
23511 58010 280454827
60884 7247 86623475
22623 59677 36223587
3406 17644 21423875
27881 51112 546467331
44044 48166 299253954
26105 20019 806827534
67314 65645 22018221
28173 66233 594531478
45986 25618 966321877
61367 43604 196327063
44583 15935 441404101
28976 18520 182934974
51051 2651 877671270
68445 31429 676711290
14763 36199 723458040
56261 14030 725158607
36127 41551 823667615
12377 4487 72651720
6125 69053 907405540
2113 61260 439086625
10441 55214 387204684
4134 17717 767573658
64022 27481 297933728
36201 43508 502614246
44400 58269 938618457
61296 7737 33458470
44840 44056 787857801
8937 57421 717551200
42530 35971 75337052
11062 49671 353288564
68249 62284 650869177
47198 56212 354866184
18040 27435 497147985
8126 3251 152525133
63933 67243 716321414
22635 32961 828662861
15830 23616 377524763
18105 33594 54397402
29657 33449 235951262
1056 11804 534521470
40230 6058 880166004
19191 47762 393922245
297 48447 815117860
67530 20253 385556605
39605 35284 918987736
39229 30042 841800350
30995 13575 938077998
54267 4561 836852250
48769 32628 753696375
68163 2843 704230233
11733 36300 532779037
43752 63694 437868146
11707 63956 28781113
8139 9004 845626683
52267 44762 676835909
38707 24945 894948361
18485 21293 230119759
46876 5940 413673318
57284 23379 445513033
34073 62943 448530822
62315 12509 815180595
3751 61990 240512323
16418 24185 68264574
59851 51269 715966246
43596 10833 167988283
13384 885 547762851
34391 14316 645222934
32624 9171 948201420
32795 27685 130405842
62357 42351 876522895
59524 53205 378907349
13381 51537 523572890
61271 27674 863693925
18539 14446 545649795
18766 870 129462080
50370 24318 158980527
2597 13238 683138580
64178 34355 803652484
22834 31984 110517384
6169 57664 868333832
11895 38306 684341776
25625 60703 269170629
20508 18429 682861742
38207 27797 347151458
34740 55384 595823752
52209 34160 733039180
28189 9725 636176477
39473 4495 714922607
7893 48198 275089365
68948 67636 418410141
51141 2418 727528442
11942 52405 890139991
9740 11507 99865539
51734 41857 45503391
325 10017 5311021
39222 31467 725151210
26526 64864 139784432
15057 34070 19085517
23450 4999 341391438
47372 24276 45846057
30321 40018 365956850
58923 2606 652503270
49387 33239 386526817
64102 13049 737074949
64669 65295 267533733
4093 38743 879846367
53549 16810 130478217
59985 37907 678899454
47286 32376 199727613
10238 26347 64579898
9909 59194 569986306
5735 32892 157090509
63217 19937 708749882
5616 55341 645682101
44948 18067 616955165
13231 13254 177557183
49265 56335 790377987
37759 23815 31993363
16271 29797 539080346
54852 61943 377467459
62587 19464 138220497
54501 62314 774190545
17283 47253 602383415
20979 49313 215790428
31244 19918 584448112
37732 29453 360640683
33854 11056 151274921
9886 53732 383832035
12243 37108 496991031
33726 8023 161217235
15160 44571 730190101
51918 35368 746671145
47248 22235 269572658
17348 36411 462740522
62450 56044 79632181
31459 26283 437517282
50264 30432 185831212
27111 7143 963635731
7830 1265 548054652
64927 29945 790751069
881 34139 219992258
64185 26121 76678947
60580 26999 334875838
56810 55 621991286
55380 14835 573843794
55344 61234 223744586
26975 30934 718821335
16317 55278 41184472
42608 17825 592674046
48256 57509 801084459
54708 44268 383565546
15329 32664 588623977
67521 9934 593097222
22686 26284 471242829
22017 55282 703502755
21923 25838 815529963
61004 20682 169706068
11383 66863 690957006
53190 44202 34065326
18625 9056 985375401
12703 333 757580742
33459 65974 554051137
26366 57406 356475056
40376 29253 116394143
50955 27884 203900534
63491 45937 233851404
51751 49490 808037262
52632 37575 8698331
32094 54529 239232812
57071 33114 488110275
27440 47234 400559250
3110 20380 510656987
17707 13088 956557947
40606 7832 319283807
61722 55243 521149518
66225 50675 311576654
8758 46022 222913688
29301 68365 961576921
34462 46707 786790560
36389 41222 445419857
13822 29628 478764154
27504 18743 986409657
38986 42417 447375980
35730 34252 903919560
15540 59116 576125272
68615 739 591254832
3370 26063 92030244
26875 30476 627255489
17554 12380 185273835
40274 51702 889601264
22373 619 907567601
34575 31183 905094785
21558 67678 724225930
46905 46554 336298263
2356 25009 550433132
63960 17393 371878079
22286 44406 583437917
53147 64207 704282873
7337 36931 446248682
14626 54312 286123619
58515 6398 702812815
45070 34219 443055871
64337 54012 612102668
17506 65525 146073323
36108 24606 989890798
32285 63062 997042636
15535 48134 262232874
10738 31815 304599825
57433 32032 215836093
58250 5333 83834054
55590 15669 173108600
38973 49755 630612042
61502 19280 958079473
34530 47615 68505834
45020 63305 465815016
13304 14643 330413337
16635 19150 35957364
38359 42403 92113987
60496 37035 379772680
2629 36774 532671971
17513 15982 82740161
16196 61658 391097414
34360 64014 35775003
65504 17550 792817986
15849 39035 732687907
21456 53885 746781798
47151 5113 927920955
58364 48919 263381101
62264 39417 826440333
40953 63032 193055435
11338 29111 176197080
21213 47362 511858132
40086 66210 697461561
40793 39485 652231141
3991 43698 912803741
43198 41848 533664496
4208 62152 441672116
42905 14544 432650714
28045 67684 768737684
57737 31223 600457142
25755 41286 72873675
39093 14595 445513825
40866 31490 169669455
19936 43098 672133951
22041 61320 396166402
50510 51732 560842678
8142 66945 215628718
39861 40562 531929503
51090 6121 774751333
21928 58200 433760284
40433 10715 719595224
5257 48748 18146291
45499 32364 585256516
65418 18160 452355560
15177 57982 693975270
31250 6150 539054906
63789 8772 534285890
20665 67019 150228308
56094 23143 529496549
41464 29419 84783446
58317 48347 614714248
33858 1101 98165149
29541 16198 644034203
65544 32615 653364004
43300 53155 871898003
36524 28302 1782783
14798 14791 4197755
68141 69701 225209486
45748 55843 137308961
61409 8642 992088465
20377 10231 760804050
59930 1337 171543514
67795 19966 651460496
26491 2999 344978825
42857 66744 525729048
16768 44596 755531289
17684 29298 353597278
18784 50292 257984215
5907 10711 150591151
10195 42582 299430838
3969 32243 360196079
16985 33028 367413862
48186 8165 267803599
65805 42939 634166867
11345 64204 300528618
33205 22587 112715080
58399 15090 150583703
35367 69345 204697444
7484 55574 343874040
19869 20045 280019493
47543 57807 103441588
39338 41562 934308365
36553 60353 964607729
29745 61407 237717762
25079 63102 122190798
35320 31852 932811062
42714 32227 388523541
43273 43177 183896160
24067 6352 382279650
42667 3852 236778518
26391 50851 508422254
67677 37482 796217058
49971 9913 644995204
55594 11351 930279033
12126 20784 343731158
23783 62429 465730049
62328 6530 70065877
29737 4453 193704341
546 58105 405291333
44368 68695 64592471
40617 10873 201512881
39162 46398 370830265
48701 11179 411404328
59440 29116 292770487
51622 62425 364647620
3071 18100 480189529
57666 44591 575874297
14689 13190 317042590
5637 40412 101779603
32204 2662 637753640
44332 26855 728271963
28572 12727 98982183
66839 51000 587631815
1082 7134 78305761
57321 10902 466283488
56959 53857 531969031
65211 21731 274431057
50004 21038 432141080
34587 13906 668314814
10089 59082 587402706
63403 542 753824766
65738 11727 983655485
8634 10135 666098252
8288 15533 487700778
11442 68162 412702664
25258 59103 23433571
47251 63266 951068259
53243 24822 698672597
50705 24294 369311947
43896 60334 2450410
63556 23348 111433818
65343 25233 85987559
55194 3155 153685955
48127 3002 171383858
1691 8435 645956668
54490 35146 835730998
60920 8386 655478699
49666 57825 38869408
28391 1840 280056794
69398 24487 544025473
4495 57146 608867748
55356 61085 30797532
66230 49838 814708536
54229 29311 622460657
60286 14319 349821880
8195 36759 900340483
38912 21185 734953866
10846 59910 372786155
33225 44916 25947886
2696 12504 128814239
7176 21 850763390
17887 6749 371956955
19120 12750 364958860
41762 21903 443432202
45921 15268 886027482
19683 19493 57133430
55049 22842 776990754
54364 56330 863872909
56469 227 320918827
49935 19356 427613717
2584 43160 762667302
67882 4768 15718236
25455 49383 535081536
9600 60623 17686391
26299 41163 844154803
66336 22825 744668602
48179 32680 131565285
47681 14483 31450111
27887 57080 204328419
15805 6571 267003662
35889 21124 548294308
60375 9205 31718794
63763 23955 600077345
64153 28417 136576871
59387 35866 926364316
22169 54944 88230605
39269 26680 362220093
66682 19718 495953212
37991 30430 418406323
20770 9683 898220201
60000 35352 327944878
4056 66660 385208967
62523 14211 355237414
61466 21484 534293215
63635 49645 785762288
45828 56233 846467580
19365 34021 870098921
45471 28784 721246614
35811 69209 514022712
57961 36203 890329760
53821 30551 810809907
18175 1589 407527645
43234 16662 520325525
37751 7048 692345162
60726 32044 633539261
45235 32225 462725506
30462 40296 416859215
1894 54827 7265722
44403 61842 190501880
65879 33794 563890132
51730 9281 433846986
17078 37720 844038915
64872 29796 131724257
7659 2305 433270559
42077 55411 981296027
66645 38062 422539525
49415 45650 868558624
59356 20110 498046452
13474 64892 859212578
8162 54683 312042062
1321 28402 841561923
3135 54304 212140293
64996 44735 338306215
9417 66035 531110719
50258 31406 378600857
11593 14547 990345209
57114 5774 683952185
58946 45015 997295207
45463 62962 929731480
45857 47452 403238660
43648 23394 488722846
47574 62806 14597298
31657 7639 461472272
21906 13026 436830686
43346 8784 392924084
31724 23447 441475640
44712 61873 668357735
36141 56153 905337933
33140 29975 864445002
39232 31631 767329741
9712 26756 261478816
58202 44259 809309712
33795 28082 614400714
52057 66810 841819112
24444 30416 514911644
5000 35170 183028660
1485 60147 753898686
24054 2643 425275209
34036 57162 541636014
27000 35302 891101495
49807 61582 86439691
58467 11868 367692352
3137 11873 886262916
18997 37444 91960289
25228 50091 38371047
51362 3462 460711127
42116 34415 616885962
64867 62138 222973364
36139 48313 55992046
53042 16599 656188351
6498 30696 847958463
54345 23428 448800113
10111 54706 88766746
7722 43229 935682289
38413 10823 333452286
5228 47661 112745570
60042 31519 49732971
22563 34369 141157238
60275 47642 439332529
23894 18667 442471850
1717 39979 279578974
22605 18754 192013292
53441 11402 965000440
17182 22762 926570079
